EFX,NTAP,LH,DRI,TSCO,RHI,ADM,RSG,F,EBAY,FDX,ECL,EMR,HSIC,VTR,ALK,LEG,ROST,ITW,ILMN,CB,DLTR,SO,APD,PRU,CNP,NOXL,ESS,CPRT,LMT,MLM,BWA,EMN,EIX,GILD,MMM,TXT,Sharpe Ratio,Turnover Rate,Score,Selected
3.124420571044333e-11,1.48086853069075e-11,3.552246792430745e-11,3.539324852510291e-11,3.473218596815631e-11,2.4944489700187376e-11,4.440034914567746e-11,3.638524280878235e-11,3.940118183653997e-12,6.234219894761547e-12,1.956548360974922e-11,3.067513469210123e-11,3.3862930769608633e-11,3.248227206963554e-11,4.9962136233809405e-11,3.234864196650855e-11,1.7686566405012896e-11,3.254693529929071e-11,2.445610254964826e-11,0.4228576697499459,3.947752079191767e-11,4.446739291397268e-11,3.6166988510887286e-11,2.900415169367144e-11,2.3501402811225718e-11,3.6596748560302186e-11,0.5771423290917778,3.745514112506168e-11,3.471866726824288e-11,4.7322186734600387e-11,6.61748476018431e-11,3.0090332070622646e-11,2.0783207821513945e-11,3.292171231117926e-11,1.0264191651969308e-10,2.156626392389273e-11,1.4196796347952835e-11,,,,1
3.014706729547193e-11,2.903678813550807e-11,3.2713933067158566e-11,3.717571798701984e-11,3.7621952931132805e-11,2.798948133367429e-11,3.8778472695784146e-11,3.5317861726684165e-11,2.347440521106255e-11,1.529630693901227e-11,2.4452732003975663e-11,3.6274241967523656e-11,3.4119511062895734e-11,3.9601560972065976e-11,4.8482598957231335e-11,2.8278187422160765e-11,2.4587830732126765e-11,4.5498523918275504e-11,2.8878660524267583e-11,0.5655188151951692,3.5871324088389744e-11,4.508009705290501e-11,2.9226508836515713e-11,3.9745813298607165e-11,3.4416696396195216e-11,3.204182441008323e-11,0.4344811835792405,3.4942931449800005e-11,3.717829244521512e-11,3.828083904906629e-11,4.933833282179026e-11,3.618083745145886e-11,3.451735609777112e-11,2.954165087658228e-11,6.780821641183829e-11,2.767494145442801e-11,2.4352460065279227e-11,0.1732372404774553,2.473423441078774e-10,0.0,1
3.453408182948965e-11,4.8570617231517805e-11,4.1672131231415595e-11,4.9708019933053245e-11,5.32868503099588e-11,2.8974634342448968e-11,4.261400674709751e-11,4.505222796441309e-11,6.691092292725906e-11,2.3050798280002013e-11,3.006273883813553e-11,4.4142451806717736e-11,4.6578734686859556e-11,4.2690632106071295e-11,7.071676621279677e-11,5.3413263192555074e-11,3.3640174352104805e-11,5.6771059178041637e-11,3.451877866663358e-11,0.5417438528269171,4.189515938741548e-11,7.08448869679381e-11,4.2905301075396775e-11,4.5195504948000886e-11,4.241033470043332e-11,4.8281172885655184e-11,0.4582561455897301,5.027960412739455e-11,4.4340177599153385e-11,3.9745381278681234e-11,4.050027272937496e-11,5.928801464030257e-11,5.0652131320514835e-11,3.4784343249146194e-11,4.6896170819654516e-11,3.8075371012642347e-11,3.082776978596233e-11,0.2254974920305205,6.025508592287589e-10,0.0,1
3.492032518447733e-11,4.280435275974063e-11,3.941451759751612e-11,4.3611190566388e-11,6.464958050309251e-11,3.256009764815446e-11,3.806068730999736e-11,3.6879833067352005e-11,6.812491606250124e-11,2.826232749166603e-11,2.9535648914098635e-11,3.7049100887388525e-11,4.396424534554943e-11,4.1984777046539816e-11,5.5119447850172114e-11,5.397474312646574e-11,3.654713933591568e-11,5.789575374150332e-11,3.636571807290772e-11,0.6267873874509042,3.889011240275856e-11,6.10589531206117e-11,3.5845620883779776e-11,4.261445310846621e-11,4.02725987725256e-11,4.259348353729165e-11,0.3732126110049281,4.293469330211629e-11,4.343481769603962e-11,3.5152383530233806e-11,3.715871933337259e-11,7.401851996151266e-11,5.854760462764464e-11,3.060072743377545e-11,4.4156149233446026e-11,3.645839403839015e-11,3.923868530590278e-11,0.2312101885291727,1.9052940633983438e-10,0.0,1
9.767018351419888e-11,1.2325483149110935e-10,1.0508704110179856e-10,1.3239847296303309e-10,3.0801894989581103e-10,8.830256926175091e-11,9.946292039764963e-11,1.0107506858593015e-10,2.861117571907501e-10,8.322266786947417e-11,7.771206147503207e-11,1.3393282854068948e-10,1.2161440318433994e-10,1.1244160147337882e-10,1.7946238437380328e-10,2.9137016600174365e-10,1.20022440579596e-10,3.0351362895762867e-10,8.891293645459915e-11,0.8098875773922829,1.2933503928608411e-10,3.0061286480222365e-10,1.3371990059143719e-10,1.1482022660089012e-10,1.0371405071773664e-10,1.5074490300308247e-10,0.1901124175751322,1.4540604318145739e-10,1.4754762457701335e-10,9.728314264535682e-11,8.340269033718628e-11,1.9984440319631759e-10,1.5440347257671802e-10,9.010130751771336e-11,1.1698255726647855e-10,9.493463604299906e-11,8.195995448238757e-11,0.0752793963194955,8.0124237936155e-10,0.0,1
6.087860135124923e-11,7.273528374571658e-11,4.906257066146221e-11,8.567676112414949e-11,2.675691109572503e-09,4.4739182664154376e-11,3.7525255980464256e-11,4.791143785191355e-11,2.4068913418359744e-10,7.432146401259027e-11,3.8963611693272735e-11,7.600585551533238e-11,5.6248528364095815e-11,6.356976379267347e-11,1.1461213705848218e-10,2.7196001273033394e-10,8.329704185808189e-11,5.47675736334643e-10,5.920484042433241e-11,0.6127477400965679,6.988193357046894e-11,0.0860219504356804,7.146633334318635e-11,4.9967656659807305e-11,5.5684837505960075e-11,8.603298010359676e-11,0.3012303037388966,8.768516015583693e-11,8.041210941026612e-11,5.153848589301813e-11,3.442966376096243e-11,1.0468136715581264e-10,1.1895859084784027e-10,4.45804386709936e-11,7.011454920356306e-11,5.396411831731666e-11,4.883642287084214e-11,0.0622351847973103,0.1720439063478483,0.0,1
9.708611547011896e-11,9.190427697526732e-11,7.619771755138839e-11,1.0050980837689651e-10,2.4765902443781043e-09,7.976041375146221e-11,7.391912334553369e-11,8.214460756092989e-11,2.871875341190998e-10,9.907418873498844e-11,7.016473726222809e-11,1.0967395079066712e-10,8.354625935847211e-11,9.237304208930136e-11,1.3774455953725134e-10,3.726247836987557e-10,1.1999261673491198e-10,3.885367649152031e-10,8.584723796852424e-11,0.911890201563577,9.913439259965923e-11,0.082219328957199,9.324366282273427e-11,7.806879812564089e-11,8.582472600074905e-11,1.1320190028596764e-10,0.0058904629664681,1.0424086612001491e-10,1.127460871309057e-10,7.97750329848842e-11,7.189247397648261e-11,1.2270528645745734e-10,1.4089579393589406e-10,7.962755581213928e-11,1.2292564628466466e-10,8.337451901490172e-11,7.550193584055576e-11,0.0693687908025945,1.4603648952446981e-09,0.0,1
6.883102635782124e-11,6.324276046691291e-11,4.8206612685818066e-11,6.064100407060459e-11,1.0188940623388574e-09,6.169991831443059e-11,5.5682008094746894e-11,5.077229380007636e-11,1.2793750906427788e-10,6.394092369281971e-11,6.074819267450989e-11,7.321619423171356e-11,6.074439532355812e-11,6.707359374288365e-11,6.582046276375144e-11,1.96302997576946e-10,6.594688051362203e-11,1.5825209180137588e-10,6.257048797280285e-11,0.9605086781208106,6.387072538053548e-11,0.0391514398979806,5.451542590468028e-11,5.6366141184657955e-11,6.647200200457535e-11,6.885833980966033e-11,0.0003398784715679,6.672361903005245e-11,6.474267972548818e-11,7.035488543875919e-11,4.8969396130123866e-11,9.162987798184952e-11,8.652789180420465e-11,5.198798928424807e-11,9.817132527057635e-11,6.138821506966425e-11,6.121728576445932e-11,0.1973646047907034,1.039255562894954e-09,0.0,1
4.6853477634418994e-11,3.4523575649684394e-11,2.951861114091678e-11,3.6722830187316215e-11,5.899748404858479e-10,4.5601683136738014e-11,4.397491171890464e-11,3.5751448305911845e-11,7.451978624050716e-11,4.2289999285548347e-11,4.4975448646212176e-11,5.316771739462383e-11,3.302919621168641e-11,4.1357158462344946e-11,3.871540518247308e-11,1.389537175548095e-10,4.8609545688332857e-11,1.117901862803429e-10,4.1219855541329774e-11,0.9249639166893692,4.4802695570140455e-11,0.0400663433217855,3.308022838663222e-11,4.2130091795699374e-11,4.17671065596646e-11,4.568091107896382e-11,0.0349697377627325,4.6410711270931346e-11,3.513155520177781e-11,5.563940710528784e-11,3.391677579411491e-11,5.630599708104819e-11,5.6865742342787366e-11,3.6929118929389586e-11,8.941817266013558e-11,4.1079346430799766e-11,3.684498462127494e-11,0.1957313820071317,0.0602966336248251,0.0,1
3.3779182723187464e-11,7.908141821317945e-12,1.6130768335507992e-11,2.6869533251426577e-11,4.5588829951092956e-10,2.538122253752573e-11,1.93358969208374e-11,1.837775319889152e-11,3.5631944329683446e-11,2.523098072088854e-11,2.348680281729049e-11,2.7969730184753123e-11,1.0581111492950126e-11,2.609376921902739e-11,2.0209649366128536e-11,1.2877527216580458e-10,3.468492698399308e-11,8.23515886481681e-11,2.1078108288599968e-11,0.9183838977615418,2.332840002981332e-11,0.0425408389875162,1.5822232455538118e-11,2.232697637700537e-11,1.9912235926718432e-11,1.7118487282267668e-11,0.039075261841287,3.001222815152703e-11,1.914516063768412e-11,3.4040664132593144e-11,1.9991502551204527e-11,2.4509030499685662e-11,2.6650207700343148e-11,1.9943814330912288e-11,5.620561067095852e-11,2.1304004410987325e-11,2.0574058523928422e-11,0.2273422503421661,0.0514704102271599,0.0,1
4.72037768213592e-11,2.0451869130619413e-11,2.7206934744038837e-11,3.8018194829140927e-11,3.9759164516819266e-10,3.317432692616497e-11,2.74855667968526e-11,3.2521688241821037e-11,4.342990067008452e-11,3.2868219420176924e-11,3.3738410313314856e-11,3.781435573994273e-11,2.4310086416616278e-11,4.0608849163000525e-11,2.928790685470297e-11,1.3477430831103534e-10,4.5259811865540107e-11,9.166986370019426e-11,3.558283490533531e-11,0.8676355666219084,3.679321920702458e-11,0.0574552465710727,3.0722621638527513e-11,3.420859640626472e-11,2.881174891701605e-11,3.1020586047268954e-11,0.0749091850566253,4.1750422099115575e-11,3.307761011538579e-11,4.642861867679429e-11,3.2107599338471466e-11,3.084000966431903e-11,3.5934316067614146e-11,3.545288272507384e-11,5.2621962963453426e-11,3.505134687139355e-11,2.924512613248481e-11,0.3320073696414084,4.6078656712967525e-10,0.0,1
